health,grades,social
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5,0.28,0.22
0.5027652086475616,0.2815485168426345,0.2156862745098039
0.5027652086475616,0.2815485168426345,0.2156862745098039
0.5027652086475616,0.2815485168426345,0.2156862745098039
0.5027652086475616,0.2815485168426345,0.2156862745098039
0.5027652086475616,0.2815485168426345,0.2156862745098039
0.5027652086475616,0.2815485168426345,0.2156862745098039
0.5027652086475616,0.2815485168426345,0.2156862745098039
0.5027652086475616,0.2815485168426345,0.2156862745098039
0.5027652086475616,0.2815485168426345,0.2156862745098039
0.5027652086475616,0.2815485168426345,0.2156862745098039
0.5027652086475616,0.2815485168426345,0.2156862745098039
0.5027652086475616,0.2815485168426345,0.2156862745098039
0.5027652086475616,0.2815485168426345,0.2156862745098039
0.5027652086475616,0.2815485168426345,0.2156862745098039
0.5027652086475616,0.2815485168426345,0.2156862745098039
0.5054908948452566,0.2830749011133437,0.21143420404139968
0.5054908948452566,0.2830749011133437,0.21143420404139968
0.5054908948452566,0.2830749011133437,0.21143420404139968
0.508177045071175,0.284579145239858,0.20724380968896705
